Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
17-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.5,25.5,31,19,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
18-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.44,25.78,31.11,18.9,0,1,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
19-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.17,25.39,30.61,16.6,0.06,1,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
20-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.22,25,31,16.3,0.22,1,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
21-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.28,23.78,31.78,14.5,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
22-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,26.67,25,31,12.1,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
23-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,26.78,24,31,9.4,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
24-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.06,23.5,31.39,11.5,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
25-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.67,24.72,30.61,15.4,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
26-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.72,25.5,31,14.2,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
27-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.56,24.89,31.72,13.6,0.1,1,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
28-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.5,20.5,31,14.6,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
29-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.39,25,30,13.4,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
01-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.78,25,31,16,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
02-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.61,25.28,31.78,16.6,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
03-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.56,25.61,31.72,17.5,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
04-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.89,26,32,18.9,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
05-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.94,26,30.78,20.6,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
06-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.78,26,30,20.4,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
07-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.56,25.5,30.72,16.4,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
08-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.44,25.5,31.39,14.7,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
09-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.89,25.61,31.22,18.2,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
10-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.5,26,31.61,18,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
11-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.67,25.89,30.78,16.5,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
12-03-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.33,25,30.89,14.7,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
13-03-2020,Aruba,Netherlands,2,0,2,0,12.5186,-70.0358,27.44,25,31.22,14.6,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000116721,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
14-03-2020,Aruba,Netherlands,2,0,0,0,12.5186,-70.0358,27.44,25.39,31.5,11.7,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000116721,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
15-03-2020,Aruba,Netherlands,2,0,0,0,12.5186,-70.0358,27.78,25.61,31.11,11.1,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000116721,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
16-03-2020,Aruba,Netherlands,2,0,0,0,12.5186,-70.0358,27.22,25,30,12.1,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000116721,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
17-03-2020,Aruba,Netherlands,3,0,1,0,12.5186,-70.0358,27.44,25,30,12.8,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000175082,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
18-03-2020,Aruba,Netherlands,4,0,1,0,12.5186,-70.0358,27.61,26,31,11.6,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000233442,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
19-03-2020,Aruba,Netherlands,4,0,0,0,12.5186,-70.0358,28.06,26,31,16.4,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000233442,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
20-03-2020,Aruba,Netherlands,5,0,1,0,12.5186,-70.0358,27.78,25.72,31.78,15.1,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000291803,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
21-03-2020,Aruba,Netherlands,5,0,0,0,12.5186,-70.0358,27.06,25.72,31.5,12.8,0,1,17134872,508,43,0.98,19.1,4.7,1.175,0.000291803,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
22-03-2020,Aruba,Netherlands,9,0,4,0,12.5186,-70.0358,27.56,24.11,30.72,13.5,0.03,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000525245,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
23-03-2020,Aruba,Netherlands,9,0,0,0,12.5186,-70.0358,27.78,25.72,31.39,15.5,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000525245,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
24-03-2020,Aruba,Netherlands,12,0,3,0,12.5186,-70.0358,27.94,26,31.39,17,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000700326,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
25-03-2020,Aruba,Netherlands,17,0,5,0,12.5186,-70.0358,27.78,25.78,32.28,14.3,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.000992129,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
26-03-2020,Aruba,Netherlands,28,0,11,0,12.5186,-70.0358,27.83,25.61,31.61,16.2,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0.001634094,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
