16-02-2020,,Tanzania,0,0,0,0,-6.369,34.8888,23.5,19.5,29,5.5,0,0,59734218,67,18,0.99,3.04,0.7,0.125,0,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
17-02-2020,,Tanzania,0,0,0,0,-6.369,34.8888,24.72,19.72,30,5.5,0,1,59734218,67,18,0.99,3.04,0.7,0.125,0,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
18-02-2020,,Tanzania,0,0,0,0,-6.369,34.8888,24,20,29,8.9,0,0,59734218,67,18,0.99,3.04,0.7,0.125,0,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
19-02-2020,,Tanzania,0,0,0,0,-6.369,34.8888,24.78,20,30.5,8.3,0,0,59734218,67,18,0.99,3.04,0.7,0.125,0,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
20-02-2020,,Tanzania,0,0,0,0,-6.369,34.8888,24.5,19.78,31.72,6.1,99.99,1,59734218,67,18,0.99,3.04,0.7,0.125,0,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
21-02-2020,,Tanzania,0,0,0,0,-6.369,34.8888,24.94,19.61,31,5.8,0.41,1,59734218,67,18,0.99,3.04,0.7,0.125,0,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
22-02-2020,,Tanzania,0,0,0,0,-6.369,34.8888,25.72,20.78,31,6.2,0,0,59734218,67,18,0.99,3.04,0.7,0.125,0,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
23-02-2020,,Tanzania,0,0,0,0,-6.369,34.8888,25.56,21,31.39,7.3,0,0,59734218,67,18,0.99,3.04,0.7,0.125,0,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
24-02-2020,,Tanzania,0,0,0,0,-6.369,34.8888,25.06,21,30,5.7,0,1,59734218,67,18,0.99,3.04,0.7,0.125,0,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
25-02-2020,,Tanzania,0,0,1,0,-6.369,34.8888,22.39,13.72,25,3.9,0.94,1,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
26-02-2020,,Tanzania,0,0,1,0,-6.369,34.8888,24.67,20.39,30,3.7,0.13,0,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
27-02-2020,,Tanzania,0,0,1,0,-6.369,34.8888,24.5,20,31,6.1,0,1,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
28-02-2020,,Tanzania,0,0,1,0,-6.369,34.8888,22.94,19.22,28,5.6,1.24,1,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
29-02-2020,,Tanzania,0,0,1,0,-6.369,34.8888,24.72,20,30.11,3.6,0,1,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
01-03-2020,,Tanzania,0,0,1,0,-6.369,34.8888,23.61,21,28.5,4.5,0.08,1,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
02-03-2020,,Tanzania,0,0,1,0,-6.369,34.8888,21.94,19,27.72,5.3,0,1,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
03-03-2020,,Tanzania,0,0,1,0,-6.369,34.8888,22.5,18.61,28.78,2.9,1.24,1,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
04-03-2020,,Tanzania,0,0,1,0,-6.369,34.8888,19.72,19,21.61,2.4,0.04,1,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
05-03-2020,,Tanzania,0,0,1,0,-6.369,34.8888,22.67,17.72,29,1.8,0.45,1,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
06-03-2020,,Tanzania,0,0,1,0,-6.369,34.8888,21.89,19,28.89,6.5,0,1,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
07-03-2020,,Tanzania,0,0,1,0,-6.369,34.8888,24,19,30,5,0.14,0,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
08-03-2020,,Tanzania,0,0,1,0,-6.369,34.8888,24.39,20.28,29,9.3,0,1,59734218,67,18,0.99,3.04,0.7,0.125,2.56882E-05,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
09-03-2020,,Tanzania,0,0,4,0,-6.369,34.8888,23,20,28.61,4.2,0.02,1,59734218,67,18,0.99,3.04,0.7,0.125,0.000102753,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
10-03-2020,,Tanzania,0,0,4,0,-6.369,34.8888,23.94,20,29,4.3,0,1,59734218,67,18,0.99,3.04,0.7,0.125,0.000102753,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
11-03-2020,,Tanzania,0,0,5,0,-6.369,34.8888,23.28,20.5,28.61,8.3,0,0,59734218,67,18,0.99,3.04,0.7,0.125,0.000128441,14.24,22.47,61.6,64.6,,Not Reported,1.506,Not Reported
